,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
0,0,All Pergamene 1,Allegri,Pergamene,1,Originale,n.d.,/iipzoom/image.php?collect=All%20Pergamene&imgname=ASVr_All_1r.tif,1200 02 10,Petrus domini Federici imperatoris notarius,1200 02 10,,&#9989;,All Pergamene
1,1,ACVr Diplomi P B,Archivio Capitolare di Verona,Diplomi,P B,Originale,19 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_P_B_recto.JPG.tif,0906 08 24,Diploma imperiale,0906 08 24,,&#9989;,ACVr Diplomi
2,2,ACVr Diplomi P C,Archivio Capitolare di Verona,Diplomi,P C,Originale,19 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_P_C_recto.JPG.tif,0905 01 23,Diploma imperiale,0905 01 23,,&#9989;,ACVr Diplomi
3,3,ACVr Diplomi Q B,Archivio Capitolare di Verona,Diplomi,Q B,Originale,26 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_Q_B_recto.JPG.tif,1027 05 24,Diploma imperiale,1027 05 24,,&#9989;,ACVr Diplomi
4,4,ACVr Diplomi R B,Archivio Capitolare di Verona,Diplomi,R B,Originale,26 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_R_B_recto.JPG.tif,1047 05 08,Diploma imperiale,1047 05 08,,&#9989;,ACVr Diplomi
5,5,ACVr Diplomi R C,Archivio Capitolare di Verona,Diplomi,R C,Originale,27 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_R_C_recto.JPG.tif,0951 10 09,Diploma imperiale,0951 10 09,,&#9989;,ACVr Diplomi
6,6,ACVr Diplomi S B,Archivio Capitolare di Verona,Diplomi,S B,Paltonarius notarius,+ 33 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_S_B_recto.JPG.tif,1136 09 25,Diploma imperiale,1136 09 25,,&#9989;,ACVr Diplomi
7,7,ACVr Diplomi S C,Archivio Capitolare di Verona,Diplomi,S C,Originale,+ 35 7,/iipzoom/image.php?collect=ACVr&imgname=ACVr_S_C_recto.JPG.tif,1154 10 26,Diploma imperiale,1154 10 26,,&#9989;,ACVr Diplomi
8,8,"ACVr Pergamene I, 1, 0",Archivio Capitolare di Verona,Pergamene,"I, 1, 0",Originale,30 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_0_recto.JPG.tif,0931 09 20,Liutefredus clericus notarius,0931 09 20,,&#9989;,ACVr Pergamene
9,9,"ACVr Pergamene I, 1, 1r",Archivio Capitolare di Verona,Pergamene,"I, 1, 1r",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_1r_recto.JPG.tif,0967 11 05,Diploma imperiale,0967 11 05,,&#9989;,ACVr Pergamene
10,10,"ACVr Pergamene I, 1, 1v",Archivio Capitolare di Verona,Pergamene,"I, 1, 1v",Originale,28 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_1v_recto.JPG.tif,0983 06 00,Diploma imperiale,0983 06 00,,&#9989;,ACVr Pergamene
11,11,"ACVr Pergamene I, 1, 2r",Archivio Capitolare di Verona,Pergamene,"I, 1, 2r",Copia XIII secolo,27 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_2r_recto.JPG.tif,0998 08 15,Diploma imperiale,0998 08 15,,&#9989;,ACVr Pergamene
12,12,"ACVr Pergamene I, 1, 2v",Archivio Capitolare di Verona,Pergamene,"I, 1, 2v",Originale,32 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_2v_recto.JPG.tif,1014 00 00,Diploma imperiale,1014 00 00,,&#9989;,ACVr Pergamene
13,13,"ACVr Pergamene I, 1, 3r 1",Archivio Capitolare di Verona,Pergamene,"I, 1, 3r 1",Copia imitativa?,32 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_3r_1_recto.JPG.tif,1027 05 24,Diploma imperiale,1027 05 24,,&#9989;,ACVr Pergamene
14,14,"ACVr Pergamene I, 1, 3r 2",Archivio Capitolare di Verona,Pergamene,"I, 1, 3r 2",Originale,33 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_3r_2_recto.JPG.tif,1084 06 18,Diploma imperiale,1084 06 18,,&#9989;,ACVr Pergamene
